window,tf,bar_seconds,N,M,atr_mult,return,max_dd,n_trades,net_wr,sum_r,pf,fees,calmar,final_balance
2021-2023,1h,3600,30,15,3.0,0.356885,-0.273409,496,0.292181,65.9664,1.125150,2662.94,1.305316,13568.85
2021-2023,1h,3600,30,20,1.5,1.934660,-0.318326,547,0.238569,197.5304,1.323415,8573.44,6.077609,29346.60
2021-2023,1h,3600,30,20,2.0,0.933124,-0.291625,498,0.260593,126.0002,1.232632,4505.44,3.199737,19331.24
2021-2023,1h,3600,30,20,2.5,0.474176,-0.299633,470,0.275330,83.1287,1.146774,3119.64,1.582524,14741.76
2021-2023,1h,3600,30,20,3.0,0.309508,-0.289594,447,0.292237,61.1265,1.114140,2375.26,1.068763,13095.08
2021-2023,1h,3600,55,5,1.5,0.211616,-0.347916,512,0.284483,75.1130,1.084308,4249.37,0.608238,12116.16
2021-2023,1h,3600,55,5,2.0,-0.072181,-0.283208,494,0.300429,32.5053,0.972208,2856.24,-0.254869,9278.19
2021-2023,1h,3600,55,5,2.5,-0.046766,-0.249148,481,0.316810,26.3121,0.977881,2327.71,-0.187702,9532.34
2021-2023,1h,3600,55,5,3.0,-0.081579,-0.205614,476,0.319742,16.8154,0.951905,1954.70,-0.396757,9184.21
2021-2023,1h,3600,55,10,1.5,0.433997,-0.354668,469,0.266979,92.7601,1.140490,4556.74,1.223669,14339.97
2021-2023,1h,3600,55,10,2.0,-0.007002,-0.292953,444,0.280285,39.0247,1.000857,2829.04,-0.023901,9929.98
2021-2023,1h,3600,55,10,2.5,-0.087378,-0.275352,428,0.296386,21.2621,0.959085,2088.38,-0.317330,9126.22
2021-2023,1h,3600,55,10,3.0,-0.090229,-0.266013,418,0.309002,14.9793,0.950713,1730.29,-0.339189,9097.71
2021-2023,1h,3600,55,15,1.5,0.537476,-0.386271,440,0.236908,102.4769,1.161979,4569.39,1.391448,15374.76
2021-2023,1h,3600,55,15,2.0,0.134162,-0.313031,409,0.253846,53.6577,1.051759,2920.51,0.428591,11341.62
2021-2023,1h,3600,55,15,2.5,0.073818,-0.297184,387,0.276596,37.8656,1.034342,2090.85,0.248393,10738.18
2021-2023,1h,3600,55,15,3.0,0.063049,-0.278468,376,0.297297,30.5359,1.032957,1693.44,0.226415,10630.49
2021-2023,1h,3600,55,20,1.5,0.452485,-0.425062,427,0.221649,99.3382,1.147533,4075.00,1.064514,14524.85
2021-2023,1h,3600,55,20,2.0,0.118240,-0.368238,390,0.242588,52.7818,1.049221,2574.12,0.321097,11182.40
2021-2023,1h,3600,55,20,2.5,0.024623,-0.326232,367,0.266854,33.0928,1.012679,1904.70,0.075476,10246.23
2021-2023,1h,3600,55,20,3.0,0.024743,-0.288280,353,0.291066,26.5906,1.013454,1571.46,0.085831,10247.43
